,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0,loss
0,-1.0865154217052662,0.5136631055910351,0.12548420888636844,-2.0,-1.0,0.9455978889087944,1.4089098,0.6268884,0.026580820530653
1,-1.151740677745403,-0.16702257329147135,-0.05906133842497154,-1.8666666666666667,-1.0,1.0097839895241603,1.2799284,0.7479816,0.01034282723069191
2,-1.3254867239454595,0.27366592131527084,0.12581609457555784,-1.7333333333333334,-1.0,1.0793328325168627,1.127172,0.8469647,0.009658311497420073
3,-1.1076509123017846,0.5517579263180753,0.18202984992636134,-1.6,-1.0,1.1236697808343694,1.1029055,0.6055649,0.007685695074498653
4,-1.0352662967054225,0.10088902061816765,-0.1625876347216922,-1.4666666666666668,-1.0,1.1182950276820187,1.0079894,0.49773046,0.006706482775509358
5,-1.2913478931768512,0.4623591266072197,0.24052076074218315,-1.3333333333333335,-1.0,1.0561226845891938,0.8899437,0.62576914,0.006674870818853379
6,-1.054313487706052,-0.10195727215058654,-0.15040911044314811,-1.2,-1.0,0.9534307502969422,0.8040178,0.5962761,0.00631946200504899
7,-1.1555481147371234,0.3585293779278915,0.044739515458146056,-1.0666666666666667,-1.0,0.8475007390691546,0.75591576,0.43152988,0.005158915311098099
8,-1.1241479280467792,-0.05452658687196197,-0.10645143131449757,-0.9333333333333333,-1.0,0.785938232031315,0.70701903,0.5735029,0.005807403951883316
9,-0.917577482040571,0.013349158819072551,-0.21609992471576941,-0.8,-1.0,0.8107993761532928,0.7113505,0.48399493,0.005339857451617718
10,-0.8381116204374774,-0.3480463436453323,-0.08573547135826726,-0.6666666666666667,-1.0,0.9428296111302019,0.74393296,0.3324169,0.004998326761648059
11,-0.9289365690909276,0.28510801943457087,-0.13352007863221346,-0.5333333333333334,-1.0,1.1714772350152454,0.73702186,0.50463384,0.0045759014403447505
12,-1.0966937211416663,0.28487566433886286,-0.04963144757081747,-0.3999999999999999,-1.0,1.4546487135076402,0.77081573,0.5872317,0.00522441759519279
13,-1.1323377825183374,-0.03886130148106752,-0.10133055964690685,-0.2666666666666666,-1.0,1.7289534262504769,0.8302633,0.5209625,0.005978432999341749
14,-0.9249964106060145,-0.0847136489626758,-0.2082152326353479,-0.1333333333333333,-1.0,1.9275547051848214,0.79964304,0.4916989,0.004333380829542875
15,-1.056109421859908,-0.21872233435962127,-0.11178291703899276,0.0,-1.0,1.0,0.7910772,0.5348123,0.00413142741099
16,-1.1195301281201742,-0.21730308782657942,-0.06587806205237018,0.1333333333333333,-1.0,1.9275547040243894,0.78360564,0.35961193,0.004285760002210736
17,-1.0017910447553127,-0.2122666644019734,-0.14587002402231136,0.2666666666666666,-1.0,1.7289534257944925,0.7585902,0.45337096,0.0043020001910626885
18,-0.9668486140913916,-0.35332455549642827,-0.08048552022243068,0.3999999999999999,-1.0,1.4546487133180417,0.7057369,0.6230001,0.0033438284983858466
19,-0.8950591084231774,0.5248755344973384,0.05829643236211035,0.5333333333333332,-1.0,1.1714772349616136,0.75014824,0.3734048,0.004845832465216518
20,-1.1255296919363955,-0.060663728165919625,-0.10463956028898433,0.6666666666666665,-1.0,0.942829611144507,0.73829675,0.45521694,0.0036715990714728834
21,-0.7606507749525815,-0.23627219809377975,-0.10572878602243131,0.7999999999999998,-1.0,0.8107993761927432,0.72450113,0.41648635,0.00365737215988338
22,-1.0900847882551,0.01606682278915497,-0.1354729750539983,0.9333333333333331,-1.0,0.7859382320695729,0.70706975,0.6085181,0.004056261582300067
