,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0,loss,x_epi_0,x_epi_1,y_epi_0
0,-1.0,-1.0,0.8082151450513766,-2.0,-2.0,3.9455978889087944,1.2069616,0.99999994,0.35261072317759196,-2.196968,0.051018346,1.0
1,-0.8947368421052632,-1.0,0.7828087558329775,-1.8666666666666667,-2.0,4.00978398952416,1.402264,0.99999994,0.2038113420208295,4.440892e-17,-4.718448e-17,1.0
2,-0.7894736842105263,-1.0,0.8172534097868989,-1.7333333333333334,-2.0,4.0793328325168625,1.597566,0.99999994,0.1911241720120112,4.440892e-17,-4.718448e-17,1.0
3,-0.6842105263157895,-1.0,0.9193708349615816,-1.6,-2.0,4.123669780834369,1.7928672,0.99999994,0.18332161009311676,4.440892e-17,-4.718448e-17,1.0
4,-0.5789473684210527,-1.0,1.084413993886785,-1.4666666666666668,-2.0,4.118295027682019,1.9829845,0.99999994,0.17565167595942816,4.440892e-17,-2.3733902,1.0
5,-0.4736842105263158,-1.0,1.2948836563908752,-1.3333333333333335,-2.0,4.056122684589194,2.1216414,0.99999994,0.15914386709531148,4.440892e-17,-4.718448e-17,1.0
6,-0.368421052631579,-1.0,1.5229999370037697,-1.2,-2.0,3.9534307502969424,2.2286131,0.99999994,0.15384187325835227,4.440892e-17,-4.718448e-17,1.0
7,-0.26315789473684215,-1.0,1.735422791153194,-1.0666666666666667,-2.0,3.8475007390691545,2.2197287,0.99999994,0.15829741954803467,4.440892e-17,-4.718448e-17,1.0
8,-0.1578947368421053,-1.0,1.8993114573918617,-0.9333333333333333,-2.0,3.785938232031315,2.2295341,0.99999994,0.14431794583797455,4.440892e-17,-4.718448e-17,1.0
9,-0.052631578947368474,-1.0,1.9884978882241269,-0.8,-2.0,3.810799376153293,2.2375336,0.99999994,0.14445117712020875,-0.78977144,-0.018165069,1.0
10,0.05263157894736836,-1.0,1.9884978850912138,-0.6666666666666667,-2.0,3.9428296111302017,2.3701162,0.99999994,0.14145456370380188,4.440892e-17,-4.718448e-17,1.0
11,0.1578947368421053,-1.0,1.899311456441779,-0.5333333333333334,-2.0,4.171477235015246,2.530819,0.99999994,0.1349079704946942,4.440892e-17,-4.718448e-17,1.0
12,0.26315789473684204,-1.0,1.7354227906870294,-0.3999999999999999,-2.0,4.45464871350764,2.76343,0.99999994,0.12953830295138888,4.440892e-17,-4.718448e-17,1.0
13,0.36842105263157876,-1.0,1.5229999367669733,-0.2666666666666666,-2.0,4.728953426250477,3.1035933,0.99999994,0.12825925648212433,4.440892e-17,-0.046231795,1.0
14,0.4736842105263157,-1.0,1.2948836562870316,-0.1333333333333333,-2.0,4.927554705184821,3.466968,0.99999994,0.12462171394791868,4.440892e-17,-4.718448e-17,1.0
15,0.5789473684210527,-1.0,1.084413993862463,0.0,-2.0,4.0,3.4212928,0.99999994,0.11185830450720258,4.440892e-17,-4.718448e-17,1.0
16,0.6842105263157894,-1.0,0.9193708349812388,0.1333333333333333,-2.0,4.92755470402439,3.3025131,0.99999994,0.12097060912185245,4.440892e-17,-4.718448e-17,1.0
