,xtr_0,ytr_0,xte_0,yte_0,modelte_0,epi_0,x_epi_0,y_epi_0
0,-0.165955990594852,-0.4980652197092491,-4.0,4.898587196589413e-16,6.935455,1.0,-1.0179918,1.0
1,0.4406489868843162,0.9826672516685445,-3.959798994974874,0.1259597050677177,6.8438497,1.0,-1.1435739,1.0
2,-0.9997712503653102,-0.0007186381099971351,-3.919597989949749,0.2499129623703082,6.752244,1.0,-0.99977124,0.0
3,-0.39533485473632046,-0.9464255890012647,-3.879396984924623,0.369885285416548,6.6607504,1.0,-0.82296455,1.0
4,-0.7064882183657739,-0.7968687382785425,-3.8391959798994977,0.483965601142838,6.569277,1.0,0.5153664,1.0
5,-0.8153228104624044,-0.5481749109919547,-3.798994974874372,0.5903366919365288,6.4778056,1.0,1.1195682,1.0
6,-0.6274795772446582,-0.9208704959976054,-3.758793969849246,0.6873041426091845,6.3863335,1.0,1.0646175,1.0
7,-0.3088785459139045,-0.825095140135845,-3.7185929648241207,0.773323331215339,6.2948627,1.0,0.5172079,1.0
8,-0.20646505153866013,-0.6040944774579686,-3.678391959798995,0.8470240337722996,6.203391,1.0,-1.296346,1.0
9,0.07763346800671389,0.2414819750403921,-3.6381909547738696,0.9072322509454811,6.11192,1.0,-1.2606224,1.0
10,-0.1616109711934104,-0.48618248687837584,-3.5979899497487438,0.9529889090158394,6.0204453,1.0,-1.1330601,1.0
11,0.370439000793519,0.9183014838331793,-3.557788944723618,0.98356513723637,5.928975,1.0,0.37043902,0.0
12,-0.5910955005369651,-0.9593278199945117,-3.5175879396984926,0.9984738782203788,5.8375034,1.0,-0.5910955,0.0
13,0.7562348727818908,0.6931216192901521,-3.477386934673367,0.9974776464163388,5.7460313,1.0,-0.3141179,1.0
14,-0.9452248136041477,-0.17123330156651745,-3.4371859296482414,0.9805923110824042,5.65456,1.0,-0.645446,1.0
15,0.34093502035680445,0.8777180261638202,-3.3969849246231156,0.9480868435005093,5.5630875,1.0,-0.61386514,1.0
16,-0.16539039526574606,-0.4965236398533634,-3.35678391959799,0.9004790324567514,5.4716163,1.0,-1.1982689,1.0
